title,views,upload_date,length,likes,dislikes,url
ACZINO vs EXODO LIRICAL - 3er y 4to Puesto | Red Bull Internacional 2020,"577,503","Dec 12, 2020",6:16,"14,040",270,https://www.youtube.com/watch?v=Fwda4AWZ6V4
EXODO LIRICAL vs RAPDER - Semifinal | Red Bull Internacional 2020,"238,463","Dec 12, 2020",12:30,"8,135",927,https://www.youtube.com/watch?v=wIcz1_7qx-4
ACZINO vs SKONE - Semifinal | Red Bull Internacional 2020,"756,352","Dec 12, 2020",10:06,"18,458","1,146",https://www.youtube.com/watch?v=yv8yFhRsWVc
RAPDER vs YARTZI - Cuartos | Red Bull Internacional 2020,"47,082","Dec 12, 2020",6:46,"1,822",206,https://www.youtube.com/watch?v=lAAIGDJ6LIY
EXODO LIRICAL vs BNET - Cuartos | Red Bull Internacional 2020,"685,109","Dec 12, 2020",6:40,"23,202","1,842",https://www.youtube.com/watch?v=h5wdAdgFjC4
SKONE vs ACERTIJO - Cuartos | Red Bull Internacional 2020,"179,664","Dec 12, 2020",9:36,"5,341","4,847",https://www.youtube.com/watch?v=AcSUFyah3co
ACZINO vs NAICEN - Cuartos | Red Bull Internacional 2020,"158,269","Dec 12, 2020",6:51,"5,507","1,713",https://www.youtube.com/watch?v=B1f8xhgtQaw
SKONE vs RAPDER - Final | Red Bull Internacional 2020,"1,651,540","Premiered Dec 12, 2020",15:19,"64,965","3,259",https://www.youtube.com/watch?v=oGrcVKNIvAU
ELEVN vs YARTZI - Octavos | Red Bull Internacional 2020,"56,480","Dec 12, 2020",6:30,"2,041",131,https://www.youtube.com/watch?v=Rc1C1K2j63k
RAPDER vs STICK - Octavos | Red Bull Internacional 2020,"122,237","Dec 12, 2020",6:21,"4,389","2,710",https://www.youtube.com/watch?v=zv50rTUlOmk
BNET vs VALLES-T - Octavos | Red Bull Internacional 2020,"1,350,908","Dec 12, 2020",9:08,"49,448","3,012",https://www.youtube.com/watch?v=z7V0WRwuHrM
EXODO LIRICAL vs MAC - Octavos | Red Bull Internacional 2020,"105,707","Dec 12, 2020",6:13,"5,319",254,https://www.youtube.com/watch?v=QyR7g0dP9Fc
ACERTIJO vs MINOS - Octavos | Red Bull Internacional 2020,"57,738","Dec 12, 2020",6:24,"2,530",55,https://www.youtube.com/watch?v=Xvd_4Boa7E4
SKONE vs TATA - Octavos | Red Bull Internacional 2020,"436,674","Dec 12, 2020",6:36,"12,055","17,890",https://www.youtube.com/watch?v=AxOJdUicSwk
NAICEN vs SNK - Octavos | Red Bull Internacional 2020,"66,128","Dec 12, 2020",6:44,"3,196",200,https://www.youtube.com/watch?v=aogRvnNSOGg
ACZINO vs SHIELD MASTER - Octavos | Red Bull Internacional 2020,"154,369","Dec 12, 2020",6:51,"5,439",471,https://www.youtube.com/watch?v=-gm1JvhsDCc
BLON vs NEW ERA vs YOIKER | Batalla de Reserva | Red Bull Internacional 2020,"932,161","Premiered Dec 9, 2020",25:18,"49,375",859,https://www.youtube.com/watch?v=Szcd1tH8Wa8
TRUENO vs ACZINO - Cuartos | Red Bull Internacional 2019,"12,731,892","Nov 30, 2019",6:19,"215,962","5,576",https://www.youtube.com/watch?v=B_TEq5kh0DU
BNET vs VALLES-T - Final | Red Bull Internacional 2019,"16,680,349","Nov 30, 2019",17:12,"282,481","32,957",https://www.youtube.com/watch?v=28FbILWvMyU
TRUENO vs TITO MC - Octavos | Red Bull Internacional 2019,"2,082,852","Nov 30, 2019",5:51,"43,267","3,996",https://www.youtube.com/watch?v=KJbIAlUdmLw
